"CODCLI";"dcadastro_dias";"d1";"d2";"d3";"dmedia";"ddesvio";"freq";"tgasto";"Y";"VL_DEV";"QT_DEV";"COMPROU";"r";"f";"v";"rfv";"cluster"
8166;617;110;323;128;187;118.122817440154;5;1859;NA;0;0;"N";2;1;1;4;"bronze customers"
8177;615;24;38;31;31;7;28;13243.9;45;0;0;"S";2;2;2;6;"silver customers"
8181;601;8;20;48;25.3333333333333;20.5264057577875;20;23887.213;87;0;0;"S";1;2;3;6;"silver customers"
8186;611;14;8;20;14;6;26;7011.019;NA;0;0;"N";3;2;2;7;"gold customers"
8187;611;10;33;16;19.6666666666667;11.9303534454489;48;106480.282;11;268638;4;"S";3;3;4;10;"diamond customers"
8191;611;127;19;47;64.3333333333333;56.0475988186232;12;11092.572;57;0;0;"S";2;2;2;6;"silver customers"
8194;610;41;176;6;74.3333333333333;89.7682200633015;15;25676.169;NA;0;0;"N";1;2;3;6;"silver customers"
8220;602;43;47;1;30.3333333333333;25.4820198048219;16;28285.541;NA;0;0;"N";3;2;3;8;"gold customers"
8230;601;8;7;24;13;9.53939201416946;26;23869.674;29;0;0;"S";3;2;3;8;"gold customers"
8235;597;58;27;57;47.3333333333333;17.6162803489651;14;6861.46;104;0;0;"S";1;2;2;5;"silver customers"
8236;597;358;33;15;135.333333333333;193.044899785862;8;1873.1;42;1320;1;"S";2;1;1;4;"bronze customers"
8261;588;27;71;34;44;23.6431808350738;19;14184.37;43;2045;2;"S";2;2;2;6;"silver customers"
8272;582;75;58;120;84.3333333333333;32.0364375880548;11;34358.635;59;0;0;"S";3;2;3;8;"gold customers"
8274;582;63;70;60;64.3333333333333;5.13160143944688;13;4073.098;65;0;0;"S";2;2;1;5;"silver customers"
8278;581;15;2;14;10.3333333333333;7.23417813807024;37;135669.394;11;2477226;1;"S";3;3;4;10;"diamond customers"
8279;436;9;43;1;17.6666666666667;22.300971578237;12;23416.8;88;0;0;"S";1;2;3;6;"silver customers"
8291;573;119;39;87;81.6666666666667;40.2657836547773;11;2295.503;NA;22556;1;"N";1;2;1;4;"bronze customers"
8304;562;19;23;21;21;2;24;11131.441;NA;220;1;"N";3;2;2;7;"gold customers"
8318;560;83;7;34;41.3333333333333;38.527046776691;7;17415.26;147;0;0;"S";1;1;2;4;"bronze customers"
8320;560;7;63;6;25.3333333333333;32.6241219549789;39;11430.69;30;926;2;"S";2;3;2;7;"gold customers"
8323;559;56;102;112;90;29.8663690461362;12;7004.588;NA;0;0;"N";3;2;2;7;"gold customers"
8325;546;2;33;13;16;15.7162336455017;22;10082.6;106;102837;1;"S";1;2;2;5;"silver customers"
8327;552;14;12;7;11;3.60555127546399;62;34578.754;19;0;0;"S";2;3;3;8;"gold customers"
8333;551;3;4;7;4.66666666666667;2.08166599946613;65;28971.83;9;48;1;"S";2;3;3;8;"gold customers"
8337;551;167;71;7;81.6666666666667;80.5315673095547;8;5734.42;62;0;0;"S";2;1;1;4;"bronze customers"
8338;257;41;30;6;25.6666666666667;17.8978583448784;11;4460.82;16;0;0;"S";3;2;1;6;"silver customers"
8341;545;8;4;1;4.33333333333333;3.51188458428425;78;201374.568;2;2467906;3;"S";3;3;4;10;"diamond customers"
8353;523;9;7;12;9.33333333333333;2.51661147842358;33;30187.515;70;15774;1;"S";2;3;3;8;"gold customers"
8354;541;28;48;44;40;10.5830052442584;21;7814.753;42;0;0;"S";3;2;2;7;"gold customers"
8358;540;19;180;93;97.3333333333333;80.5874266454348;8;11424.057;NA;232323;2;"N";2;1;2;5;"silver customers"
8366;532;12;7;5;8;3.60555127546399;37;26369.25;17;7726;2;"S";2;3;3;8;"gold customers"
8368;492;9;13;13;11.6666666666667;2.3094010767585;46;21061.55;8;0;0;"S";3;3;3;9;"diamond customers"
8371;534;49;25;133;69;56.7097875150313;7;5530.911;NA;83472;1;"N";2;1;1;4;"bronze customers"
8372;534;114;99;5;72.6666666666667;59.0790430976445;9;4646.5;NA;0;0;"N";1;1;1;3;"bronze customers"
8381;532;15;4;23;14;9.53939201416946;30;14955.765;NA;525554;3;"N";3;3;2;8;"gold customers"
8389;390;19;2;7;9.33333333333333;8.7368949480541;14;4936.105;49;0;0;"S";2;2;1;5;"silver customers"
8402;525;208;66;209;161;82.2739326883066;4;3654.222;NA;30966;1;"N";1;1;1;3;"bronze customers"
8406;524;33;1;29;21;17.4355957741627;28;19379.231;28;0;0;"S";3;2;2;7;"gold customers"
8408;523;8;303;42;117.666666666667;161.401156542738;7;7788.831;NA;4288;2;"N";2;1;2;5;"silver customers"
8413;520;45;11;38;31.3333333333333;17.9536440126603;16;66365.96;NA;0;0;"N";3;2;4;9;"diamond customers"
8421;518;21;29;21;23.6666666666667;4.61880215351701;17;10137.75;30;0;0;"S";3;2;2;7;"gold customers"
8423;471;7;7;7;7;0;96;250220.656;15;29808;4;"S";3;4;4;11;"diamond customers"
8425;512;35;14;7;18.6666666666667;14.5716619962629;31;9959.92;28;1232;1;"S";3;3;2;8;"gold customers"
8433;496;154;44;33;77;66.9103878332804;11;8448.767;NA;0;0;"N";2;2;2;6;"silver customers"
8435;512;16;21;5;14;8.18535277187245;22;118130.48;21;0;0;"S";3;2;4;9;"diamond customers"
8436;498;41;139;66;82;50.9215082258961;6;3040.222;142;0;0;"S";1;1;1;3;"bronze customers"
8441;505;4;70;79;51;40.9511904588865;7;12041.82;NA;0;0;"N";2;1;2;5;"silver customers"
8443;509;39;62;35;45.3333333333333;14.5716619962629;16;11506.673;31;101492;1;"S";2;2;2;6;"silver customers"
8453;498;22;46;28;32;12.4899959967968;16;11739.91;22;0;0;"S";3;2;2;7;"gold customers"
8457;510;267;26;31;108;137.720731917892;15;17437.373;NA;509;2;"N";2;2;2;6;"silver customers"
8467;380;34;23;27;28;5.56776436283002;15;6762.498;34;41303;2;"S";2;2;2;6;"silver customers"
8470;505;49;80;63;64;15.52417469626;9;3245.6;69;0;0;"S";2;1;1;4;"bronze customers"
8475;505;5;45;144;64.6666666666667;71.5565044795603;7;3346.3;NA;0;0;"N";3;1;1;5;"silver customers"
8476;504;36;21;16;24.3333333333333;10.4083299973307;12;17988.44;39;150;1;"S";2;2;2;6;"silver customers"
8481;504;2;10;7;6.33333333333333;4.04145188432738;68;95813.066;2;139444;2;"S";3;3;4;10;"diamond customers"
8486;454;91;29;81;67;33.2866339541865;7;4808.687;NA;0;0;"N";1;1;1;3;"bronze customers"
