CODCLI;VENDAS;DATA
1546;52,73;30/07/2013
142;397,8;31/07/2013
179;1175,7;08/08/2013
174;1026;08/08/2013
120;1390,5;08/08/2013
132;1390,5;08/08/2013
684;154,594;02/08/2013
1233;161,45;13/08/2013
410;7135,52;15/08/2013
834;1836,71;31/07/2013
1281;529,78;01/08/2013
410;8397,75;02/08/2013
431;295,36;15/08/2013
15;364,7;15/08/2013
824;341,5;01/08/2013
1033;292,2;01/08/2013
17;484,64;01/08/2013
17;668,282;12/08/2013
179;454;13/08/2013
741;391,62;30/07/2013
1331;255;01/08/2013
716;657,501;15/08/2013
1114;291;01/08/2013
968;420,498;12/08/2013
1256;413,48;01/08/2013
559;210,69;02/08/2013
1233;226,52;02/08/2013
5;1378,5;06/08/2013
1467;350;07/08/2013
123;729,99;07/08/2013
142;1006,799;08/08/2013
1481;205,75;08/08/2013
1033;346,4;15/08/2013
824;499,901;15/08/2013
685;528;06/08/2013
122;580,1;08/08/2013
740;449,505;12/08/2013
741;425;13/08/2013
1236;219,35;13/08/2013
684;219,858;21/08/2013
410;7467;21/08/2013
716;1146,9;24/08/2013
123;595,75;21/08/2013
410;1380;23/08/2013
10;344,1;26/08/2013
1220;310,02;26/08/2013
1171;165,45;26/08/2013
684;153,27;22/08/2013
434;470,44;29/08/2013
834;654,39;26/08/2013
5;917,14;27/08/2013
1114;818,51;26/08/2013
434;678,04;21/08/2013
1226;1264,77;22/08/2013
684;347,5;28/08/2013
123;368,62;28/08/2013
1256;570,72;02/09/2013
410;626,51;17/08/2013
1114;446,76;20/08/2013
824;360,72;22/08/2013
410;787,4;24/08/2013
1564;338,11;19/08/2013
15;434,3;28/08/2013
1564;234,75;28/08/2013
1281;498,5;26/08/2013
1233;362;21/08/2013
1179;253,9;02/09/2013
1462;188,34;19/08/2013
716;418,5;19/08/2013
195;168;20/08/2013
1226;151,16;30/08/2013
410;2692,4;16/08/2013
15;630,507;02/09/2013
1144;311,2;02/09/2013
459;214,3;17/08/2013
1576;381,2;19/08/2013
1220;327,5;19/08/2013
410;638,8;29/08/2013
