CLIENTE;VL_DEV;QT_DEV
3952;620,78;6
3761;165,26;1
3763;1549,62;4
3889;3,5;1
4085;15791,31;4
4437;228,42;1
4339;1651,22;5
4200;45591,55;11
4702;755,52;6
5521;15528,56;4
4546;1177,54;4
4931;7648,8;3
4949;1151,02;3
5850;196715,25;31
6224;259;1
5890;1045;4
4500;4336,42;9
4569;215,92;2
5189;656,4;2
4803;63;2
5737;8132,23;10
4965;807,23;3
5121;1074;1
4730;267,3;3
5145;397,7;5
4880;2883,36;1
5229;12012,09;5
5932;13589,24;10
5655;7318,38;11
5333;1131,96;3
5939;639,52;2
5239;816,68;9
5181;205,85;1
5962;8268,32;1
5728;99067,89;16
5676;260;2
6124;276,4;1
6311;880,34;6
6202;4397,54;2
6215;110;1
6558;49,86;1
8922;390;1
7090;879,8;2
7281;424,78;3
7077;466,39;2
7698;258;1
7722;218;3
8135;3285,26;8
9175;1430,39;2
9152;7424;2
201;429,84;6
507;80,24;4
1787;223,02;1
1147;94051,81;26
672;1030,07;9
716;76625,29;16
782;256,81;4
1318;69;1
1331;882;2
1279;1334,72;6
2410;417,84;2
1348;16444,94;6
2604;14168,16;4
1993;1062,18;2
1761;433,43;1
1843;2994,96;2
1754;130,3;4
871;258,99;3
2475;4225;1
1431;150,1;2
2040;3940,28;2
1460;1213,96;5
2776;33,9;1
2857;47,8;1
2766;60,87;1
3328;661,92;2
3066;61586,5;5
3361;894,14;2
3792;688,69;2
3501;3454,6;3
4027;1053,67;14
3966;9618,75;9
4120;1372,6;4
4440;658,82;6
4372;5648,8;3
4382;19095,4;2
4491;938,76;4
4145;422,71;3
4645;31;1
8237;611,52;1
4675;859,25;1
5071;1183,33;8
5010;152;1
4764;9;1
5045;6;1
5108;28758,55;8
5415;9714,57;7
5409;46,02;1
5450;642;1
5261;2619,53;2
6095;21719,87;8
6635;822,83;2
7476;463,5;1
7058;83;1
7676;213,2;1
7990;567,48;2
8955;59,92;1
352;1018,9;1
88;5182,16;3
474;37;1
1243;765;1
2422;317,55;2
886;4213,23;5
2063;701,24;4
1637;818,19;2
2667;1284;2
3317;540;1
3780;45;1
3686;171,28;4
4082;13,9;1
5334;1093,2;2
4368;63;1
4616;1124,3;4
4651;1098,5;2
4753;144,56;2
5811;2514;2
5887;540;2
4668;260,17;2
5033;5365,8;3
4977;14595,66;7
4839;76;1
5667;7409,13;4
5741;1576,57;3
5449;689,96;2
5439;177,28;2
5264;432;1
7217;341,94;1
7454;42;1
7495;1909,29;5
9703;178,2;1
9550;165,51;1
9781;61,74;1
6;226,83;2
11;5562,05;3
75;11202,59;5
79;200;2
160;1117,54;2
164;436,5;1
432;457,58;2
1273;31;1
971;1722,75;1
2669;1059,52;3
2932;142,99;2
2010;234,98;1
1662;225,21;3
2850;481,63;5
2295;872,68;2
2607;402,56;4
2552;98,49;3
3897;2829,35;3
3024;205,83;1
3390;27;1
3575;191,8;1
3703;5357,92;3
3556;459,02;1
4000;44,5;1
4297;564,4;1
4281;575;3
7064;462,9;1
4786;18;1
5416;976,1;2
6077;2208,6;1
6843;740;2
8830;522,33;1
8884;108;1
9541;1014,98;1
708;78;1
970;366,76;4
2797;25,38;1
8420;112;1
1654;74,81;3
1507;55,98;2
2342;196,5;1
2159;180;1
2293;89;1
3082;338,39;3
3342;133,5;2
3157;112,8;2
3500;23,51;1
3991;5881,34;3
3995;38;1
4033;126,81;2
4039;8133;1
4083;666;2
4474;378,5;2
5907;288,6;1
5650;122,96;1
5763;1200;2
5339;172,5;1
5361;1846,8;2
6449;5063,6;2
6036;1350;1
6523;2224,8;2
6304;239,62;1
6249;2026,28;2
8023;118,51;2
7893;465,24;1
8083;92,13;1
8457;509;2
8565;212,5;1
7651;364,6;2
150;1593,62;3
1126;3859,39;5
723;188,48;2
2869;4,94;1
1434;63,6;1
2935;26771,36;1
2644;20000;1
2550;8,45;1
3091;586,18;1
3238;914,47;2
3482;519,62;2
6389;300,4;1
5509;76,51;1
5565;7,8;1
6653;42,68;1
7049;600,36;1
7391;298;1
7786;309,54;1
9149;102,9;1
9291;212;1
36;37,2;1
130;4510,92;2
713;25,9;1
2805;696,4;2
1100;999,26;1
1571;630,96;1
2124;405,58;1
2920;143,89;2
2157;19038,88;1
3382;321,8;1
3914;441,24;1
3153;391;1
3460;515;1
3993;212,9;1
3904;823,72;1
5805;4905;1
5489;104;1
5564;65;1
5710;155;1
6089;402;2
6185;277,26;1
6615;85;1
8333;48;1
1340;82,81;1
1059;817,01;1
