CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,ultcompjanela,clr,clf,clv,rfv,cluster
643,2765,16,7,7,10,5.196152422706632,2301,29,16477.74,2017-10-13,2,2,1,5,mid value costumers
645,3924,57,6,15,26,27.2213151776324,1961,128,169046.32,2018-09-18,2,1,2,5,mid value costumers
647,3876,98,9,32,46.3333333333333,46.198845584422706,2709,40,15951.49,2016-08-31,0,2,1,3,low value costumers
649,3926,1612,14,28,551.333333333333,918.5909499517908,1029,180,82367.45,2021-04-07,1,3,1,5,mid value costumers
651,3901,7,9,5,7,2,3822,17,15006.55,2013-08-14,0,2,1,3,low value costumers
652,3920,4,1,6,3.66666666666667,2.516611478423583,2,339,148357.17,2024-01-29,3,3,2,8,high value costumers
655,3925,19,64,69,50.6666666666667,27.537852736430512,3222,35,11342.59,2015-04-06,0,2,1,3,low value costumers
656,3926,19,6,7,10.6666666666667,7.234178138070235,3894,4,752.73,2013-06-03,0,2,1,3,low value costumers
657,3907,9,5,16,10,5.5677643628300215,1771,153,116171.70999999999,2019-03-27,2,1,2,5,mid value costumers
663,3348,15,7,7,9.66666666666667,4.618802153517006,3023,30,5709,2015-10-22,0,2,1,3,low value costumers
664,3925,35,77,98,70,32.07802986469088,341,338,153069.99,2023-02-24,3,3,2,8,high value costumers
665,3925,16,6,8,10,5.291502622129181,2177,282,108747.8,2018-02-14,2,3,2,7,high value costumers
666,3922,20,6,261,95.6666666666667,143.35387449711058,1535,204,183586.33,2019-11-18,2,3,2,7,high value costumers
668,3908,11,73,69,51,34.698703145794944,295,244,118601.19,2023-04-11,3,3,2,8,high value costumers
669,3925,610,13,8,210.333333333333,346.1305148832349,134,237,99906.19,2023-09-19,3,3,2,8,high value costumers
670,3925,3,4,63,23.3333333333333,34.35597958628648,2449,206,62618.54,2017-05-18,2,3,1,6,mid value costumers
672,3834,1,18,13,10.6666666666667,8.736894948054104,1,297,134311.12,2024-01-30,3,3,2,8,high value costumers
674,3914,42,14,14,23.3333333333333,16.165807537309522,2025,73,21360.28,2018-07-16,2,1,1,4,low value costumers
679,3924,6,6,6,6,0,3228,128,92020.26,2015-03-31,0,1,1,2,low value costumers
681,3920,14,13,18,15,2.6457513110645907,622,75,25958.73,2022-05-19,1,1,1,3,low value costumers
684,3921,28,19,2,16.3333333333333,13.203534880225574,23,347,169079.49,2024-01-08,3,3,2,8,high value costumers
685,3911,126,63,79,89.3333333333333,32.74650108535771,35,104,86517.92,2023-12-27,3,1,1,5,mid value costumers
690,1645,109,19,84,70.6666666666667,46.45786621588785,5,93,40063,2024-01-26,3,1,1,5,mid value costumers
691,3925,43,76,57,58.6666666666667,16.563010998406458,2779,35,12188.9,2016-06-22,0,2,1,3,low value costumers
693,3880,83,62,63,69.3333333333333,11.846237095944574,3074,19,5537.32,2015-09-01,0,2,1,3,low value costumers
695,3752,3,4,1,2.66666666666667,1.5275252316519468,2575,36,17805.579999999998,2017-01-12,0,2,1,3,low value costumers
700,3901,22,14,3,13,9.539392014169456,3843,12,2570.96,2013-07-24,0,2,1,3,low value costumers
701,3375,25,69,40,44.6666666666667,22.368132093076824,159,221,98942.11,2023-08-25,3,3,2,8,high value costumers
703,1665,89,106,23,72.6666666666667,43.84442191811101,15,22,7260.92,2024-01-16,3,2,1,6,mid value costumers
704,3920,507,525,122,384.666666666667,227.65397719638753,188,26,47807.4,2023-07-27,3,2,1,6,mid value costumers
705,3679,28,19,13,20,7.54983443527075,1205,23,11893.04,2020-10-13,1,2,1,4,low value costumers
708,3906,117,132,64,104.333333333333,35.72580766523457,85,118,36256.08,2023-11-07,3,1,1,5,mid value costumers
709,3641,17,7,13,12.3333333333333,5.033222956847166,2063,258,106337.31,2018-06-08,2,3,2,7,high value costumers
710,3836,114,159,233,168.666666666667,60.08604940694082,2631,22,22365.94,2016-11-17,0,2,1,3,low value costumers
713,3920,14,14,14,14,0,3781,11,4199.54,2013-09-24,0,2,1,3,low value costumers
715,3918,5,1,7,4.33333333333333,3.0550504633038935,1,49,103378.78,2024-01-30,3,2,2,7,high value costumers
716,3921,1,4,2,2.33333333333333,1.5275252316519468,1,587,797631.67,2024-01-30,3,0,0,3,low value costumers
717,3914,1627,54,168,616.333333333333,877.117057942287,1448,44,39866.99,2020-02-13,1,2,1,4,low value costumers
718,3697,36,54,42,44,9.16515138991168,2583,23,8054.33,2017-01-04,0,2,1,3,low value costumers
721,3878,670,482,99,417,290.9965635535925,988,23,10161.1,2021-05-18,1,2,1,4,low value costumers
722,3627,28,15,16,19.6666666666667,7.234178138070235,1203,69,65321.46,2020-10-15,1,1,1,3,low value costumers
723,3901,5,3,6,4.66666666666667,1.5275252316519468,1170,94,37078.84,2020-11-17,1,1,1,3,low value costumers
724,3219,47,31,25,34.3333333333333,11.372481406154654,3116,4,1369.1,2015-07-21,0,2,1,3,low value costumers
725,3899,338,8,6,117.333333333333,191.10555547480385,405,45,26728.31,2022-12-22,3,2,1,6,mid value costumers
729,3738,4,4,3,3.66666666666667,0.5773502691896257,2714,196,119224.13,2016-08-26,0,3,2,5,mid value costumers
732,3920,64,559,63,228.666666666667,286.07749532833463,3018,6,2362.2,2015-10-27,0,2,1,3,low value costumers
733,2325,72,75,59,68.6666666666667,8.504900548115382,2119,4,3330,2018-04-13,2,2,1,5,mid value costumers
738,2800,65,97,128,96.6666666666667,31.50132272355136,2099,10,1767.7,2018-05-03,2,2,1,5,mid value costumers
739,3906,6,1,6,4.33333333333333,2.886751345948129,2,556,769167.87,2024-01-29,3,0,0,3,low value costumers
740,3915,1,4,2,2.33333333333333,1.5275252316519468,1,570,776840.75,2024-01-30,3,0,0,3,low value costumers
741,3887,2,3,3,2.66666666666667,0.5773502691896257,0,517,935601.16,2024-01-31,3,0,0,3,low value costumers
745,3850,17,28,32,25.6666666666667,7.767453465154029,3659,8,3354.74,2014-01-24,0,2,1,3,low value costumers
747,3499,33,7,14,18,13.45362404707371,2247,70,27552.3,2017-12-06,2,1,1,4,low value costumers
751,3919,9,11,7,9,2,1918,172,99688.09,2018-10-31,2,1,2,5,mid value costumers
757,2592,15,8,5,9.33333333333333,5.131601439446884,341,103,29283.28,2023-02-24,3,1,1,5,mid value costumers
760,3857,8,3,4,5,2.6457513110645907,246,357,696487.2,2023-05-30,3,3,0,6,mid value costumers
762,3913,7,34,3,14.6666666666667,16.862186493255653,3780,5,1559.46,2013-09-25,0,2,1,3,low value costumers
765,3920,5,7,9,7,2,0,594,251317.36,2024-01-31,3,0,2,5,mid value costumers
771,1546,9,17,94,40,46.93612681080534,1386,5,1362,2020-04-15,1,2,1,4,low value costumers
772,3920,21,11,31,21,10,3256,41,17558.18,2015-03-03,0,2,1,3,low value costumers
774,3481,41,21,6,22.6666666666667,17.55942292142123,1351,6,2845.85,2020-05-20,1,2,1,4,low value costumers
775,3815,5,14,12,10.3333333333333,4.725815626252608,2,52,20060.57,2024-01-29,3,2,1,6,mid value costumers
776,3495,21,60,16,32.3333333333333,24.090108620206205,1989,43,17084.6,2018-08-21,2,2,1,5,mid value costumers
779,3919,2,15,4,7,7,3212,77,17265.2,2015-04-16,0,1,1,2,low value costumers
782,3912,34,17,21,24,8.888194417315589,2680,73,16814.07,2016-09-29,0,1,1,2,low value costumers
783,3913,67,35,24,42,22.338307903688676,2465,175,92137.51,2017-05-02,2,1,1,4,low value costumers
785,3906,38,257,115,136.666666666667,111.09605453540344,3134,27,18109.02,2015-07-03,0,2,1,3,low value costumers
787,3887,191,224,438,284.333333333333,134.098222707586,371,252,266944.75,2023-01-25,3,3,2,8,high value costumers
791,3760,83,326,38,149,154.92901600410428,783,69,30124.45,2021-12-09,1,1,1,3,low value costumers
793,3880,18,14,24,18.6666666666667,5.033222956847166,3824,4,558.98,2013-08-12,0,2,1,3,low value costumers
796,3500,43,28,15,28.6666666666667,14.011899704655802,5,117,46541.33,2024-01-26,3,1,1,5,mid value costumers
799,3866,48,22,13,27.6666666666667,18.175074506954115,84,259,100334.58,2023-11-08,3,3,2,8,high value costumers
